response_level,coefficient,variable_name,variable_level,reference_level,rel_risk,lower_log_rr_interval,upper_log_rr_interval,lower_rel_risk_interval,upper_rel_risk_interval
High,0.00384736447019325,BFHI_score,1,0,1.0038547750776,-1.27491542085251,1.2826101497929,0.279454603253983,3.60603975641161
Medium,-0.180079361776866,BFHI_score,1,0,0.835203925513449,-1.92916952973838,1.56901080618465,0.145268789812817,4.80189583799733
High,0.407974169427194,BFHI_score,2,0,1.50376831747143,-0.79998438541089,1.61593272426528,0.449335980259148,5.03257974428548
Medium,0.247334759081715,BFHI_score,2,0,1.28060773610127,-1.41160694931358,1.90627646747701,0.243751272327279,6.72799020946435
High,0.656513160685623,BFHI_score,3,0,1.92805777241629,-0.539202348050879,1.85222866942212,0.583213268089033,6.3740092641503
Medium,0.0436326732882682,BFHI_score,3,0,1.04459857544674,-1.61497051373093,1.70223586030746,0.198896535071107,5.48620006595515
High,0.964864008415957,BFHI_score,4,0,2.62443073171333,-0.236202511482224,2.16593052831414,0.789620750471608,8.72271487476443
Medium,0.667340671636974,BFHI_score,4,0,1.94904726598954,-0.980481521643354,2.3151628649173,0.375130421937725,10.1265720477661
High,1.54032850699291,BFHI_score,5,0,4.6661228732327,0.293545995351693,2.78711101863413,1.34117486580116,16.234052116015
Medium,0.893345019896345,BFHI_score,5,0,2.44328884715199,-0.809900809970072,2.59659084976276,0.44490219389632,13.4179162802881
High,2.09850559511949,BFHI_score,6,0,8.15397546238758,0.646421478157564,3.55058971208141,1.90869827473421,34.833853376054
Medium,0.235881823554805,BFHI_score,6,0,1.26602468702905,-1.88809065769944,2.35985430480905,0.151360532179537,10.5894085141416
High,-0.501284885352305,bmi,Obese,Normal Weight,0.605751837807822,-0.942350932203681,-0.0602188385009295,0.389710574432314,0.941558461794534
Medium,-0.748969789470821,bmi,Obese,Normal Weight,0.472853440492662,-1.33951711359953,-0.158422465342118,0.261972140826113,0.853489136213755
High,-0.215558355513665,bmi,Overweight,Normal Weight,0.806091229017843,-0.654004531747405,0.222887820720075,0.519959408127224,1.24968037762768
Medium,-0.324195859068712,bmi,Overweight,Normal Weight,0.723108601132239,-0.886835267174851,0.238443549037428,0.411957427132323,1.26927205238484
High,0.621921701614439,bmi,Underweight,Normal Weight,1.86250378151742,-0.438356825503476,1.68220022873235,0.645095555237906,5.37737441841057
Medium,-1.16969095520698,bmi,Underweight,Normal Weight,0.310462873375504,-3.31798045044414,0.978598540030177,0.0362259179651303,2.66072472855907
High,-0.639841129380119,breast_feeding_attitude,Positive,Negative,0.527376201972064,-1.34576238726415,0.0660801285039079,0.260341151402973,1.06831231600408
Medium,-0.523218447628271,breast_feeding_attitude,Positive,Negative,0.592610190564273,-1.47791600914428,0.431479113887738,0.228112577905661,1.5395329849188
High,0.194945366489744,education,1-3 Years College,High School,1.2152445915982,-0.387982776592955,0.777873509572443,0.678424027936661,2.1768383143802
Medium,0.025391517476657,education,1-3 Years College,High School,1.02571662790664,-0.679290361978878,0.730073396932192,0.506976634638341,2.07523291781426
High,0.868907723475858,education,College Graduate,High School,2.38430511018896,0.259840853182998,1.47797459376872,1.29672370079387,4.38405718580821
Medium,-0.00885029955456915,education,College Graduate,High School,0.991188749064298,-0.770091542883845,0.752390943774706,0.462970684699686,2.12206770048288
High,-1.26812531718786,education,Less Than High School,High School,0.281358585783682,-2.85816901250094,0.321918378125207,0.0573737147054123,1.3797721517712
Medium,-1.52395107453002,education,Less Than High School,High School,0.217849444894653,-3.77496546476399,0.727063315703948,0.0229378827934461,2.06899569015447
High,-0.875465226572239,maternal_age,18-24,25-29,0.416668129494926,-1.42657191729154,-0.32435853585294,0.240130700779695,0.722990977717918
Medium,-0.311088425078393,maternal_age,18-24,25-29,0.732649088451877,-0.988746814011591,0.366569963854805,0.37204263762275,1.4427773392835
High,-0.441764113244341,maternal_age,30-34,25-29,0.642901269465264,-0.891180573587745,0.00765234709906365,0.410171229480955,1.00768170113511
Medium,0.0820194518080939,maternal_age,30-34,25-29,1.08547692411301,-0.515538462700717,0.679577366316905,0.597178949439117,1.97304368127592
High,-0.34924390882712,maternal_age,35+,25-29,0.70522109963964,-0.871941914801688,0.173454097147449,0.41813877046196,1.18940608838421
Medium,0.158248830353455,maternal_age,35+,25-29,1.17145765266614,-0.534851065654362,0.851348726361271,0.585756522913098,2.34280452425053
High,-0.692213304249698,parity,nullipara,primipara,0.500467156254252,-1.07734944672725,-0.307077161772147,0.340496835634246,0.73559383899316
Medium,-0.244432260706423,parity,nullipara,primipara,0.783149036531122,-0.739006124380925,0.250141602968079,0.477588343131157,1.2842072513717
High,0.906442058007345,perception_of_support,Helpful,Inconclusive,2.47549916374655,0.458082648455186,1.3548014675595,1.58103966814787,3.8759913702157
Medium,0.826171846201911,perception_of_support,Helpful,Inconclusive,2.28455634601572,0.241773825963384,1.41056986644044,1.27350612621961,4.09829021680001
High,-1.08635667378198,perception_of_support,Unhelfpul,Inconclusive,0.337443674225216,-1.64751505801547,-0.525198289548499,0.192527734941275,0.591438076749541
Medium,-1.15762666400149,perception_of_support,Unhelfpul,Inconclusive,0.31423107251014,-1.99662353674349,-0.318629791259485,0.135793010161983,0.727144694804892
High,-1.14639127574421,race_eth,"Black, Non-Hispanic","White, Non-Hispanic",0.317781488414364,-2.12138117526565,-0.171401376222783,0.119865958231245,0.842483352813386
Medium,-0.288535356976517,race_eth,"Black, Non-Hispanic","White, Non-Hispanic",0.749360309564236,-1.33779542155515,0.76072470760212,0.262423564671732,2.13982640717743
High,-0.701368476446865,race_eth,Hispanic,"White, Non-Hispanic",0.495906203271826,-1.47391214143642,0.0711751885426875,0.229027741364226,1.07376932147439
Medium,0.282005016935581,race_eth,Hispanic,"White, Non-Hispanic",1.32578537134991,-0.534111600026158,1.09812163389732,0.586189829916362,2.99852839674174
High,-0.811594707695374,race_eth,Other,"White, Non-Hispanic",0.444149212998456,-1.67526495845452,0.0520755430637758,0.187258557170418,1.05345532075002
Medium,0.391595046667489,race_eth,Other,"White, Non-Hispanic",1.47933852702319,-0.525529930760362,1.30872002409534,0.591241964030354,3.70143293384837
