response_level,coefficient,variable_name,variable_level,reference_level,odds_ratio,lower_log_odds_interval,upper_log_odds_interval,lower_odds_ratio_interval,upper_odds_ratio_interval
High,-0.210898332939136,BFHI_score,1,0,0.809856398415751,-1.7113197413763,1.28952307549802,0.180627253986321,3.63105440391958
Medium,-1.11350663194811,BFHI_score,1,0,0.328405342932732,-2.43526131878719,0.208248054890961,0.0875748591016941,1.23151861587955
High,0.146353201687356,BFHI_score,2,0,1.15760498388646,-1.28720747524387,1.57991387861859,0.276040557873501,4.8545377137401
Medium,-0.187154599804057,BFHI_score,2,0,0.829315514458081,-1.37981045918484,1.00550125957673,0.251626241983136,2.73327701077762
High,0.348815578717569,BFHI_score,3,0,1.41738776976677,-1.06265178326892,1.76028294070406,0.345538301663527,5.81408220221181
Medium,-0.0379808247590165,BFHI_score,3,0,0.96273140132083,-1.21734732443504,1.141385674917,0.296014356414162,3.1311040529142
High,0.613908257579088,BFHI_score,4,0,1.84763835288768,-0.799619507602726,2.0274360227609,0.449499962901749,7.59458902070631
Medium,0.176349758270836,BFHI_score,4,0,1.19285519666863,-1.00697890449531,1.35967842103698,0.365320983685101,3.89494056943047
High,1.21947922830073,BFHI_score,5,0,3.38542424133783,-0.218742706466024,2.65770116306748,0.803528434229624,14.2634620078206
Medium,0.554244755611324,BFHI_score,5,0,1.74062589029129,-0.665197293896415,1.77368680511906,0.514172074686888,5.89253800256926
High,1.32291886994531,BFHI_score,6,0,3.75436389954229,-0.203088367830856,2.84892610772148,0.816206111875053,17.2692265900897
Medium,0.310966850391752,BFHI_score,6,0,1.36474397970801,-1.03891145231373,1.66084515309724,0.353839643721633,5.26375764614583
High,-1.526105316039,breast_feeding_attitude,Positive,Negative,0.217380649708076,-2.76968702218632,-0.282523609891668,0.06268161962875,0.753878842751395
Medium,0.0147068466435009,breast_feeding_attitude,Positive,Negative,1.01481552442818,-0.705377304261589,0.734790997548591,0.493922180151244,2.08504616720209
High,0.105090024612895,education,1-3 Years College,High School,1.11081060614941,-0.544589163073681,0.754769212299471,0.580080052697439,2.12712055344129
Medium,-0.110640219144682,education,1-3 Years College,High School,0.895260788685974,-0.686155284925345,0.46487484663598,0.503508198002471,1.59181495542342
High,0.612266529222242,education,College Graduate,High School,1.84460752119247,-0.0370222502679352,1.26155530871242,0.963654693535383,3.53090887230227
Medium,0.519489295183691,education,College Graduate,High School,1.68116884939241,-0.064979324944634,1.10395791531202,0.93708683749937,3.0160798199978
High,-0.502055889411209,education,Less Than High School,High School,0.605284980679681,-2.25780206428563,1.25369028546321,0.104580092651282,3.50324711470705
Medium,-13.7142043782602,education,Less Than High School,High School,1.10661541307807e-06,-13.7142069236118,-13.7142018329086,1.10661259635635e-06,1.10661822980695e-06
High,-0.794305773222375,parity,nullipara,primipara,0.451894843553308,-1.19226432878398,-0.396347217660767,0.303533186412789,0.672773056690926
Medium,-0.466162257145879,parity,nullipara,primipara,0.627405474766278,-0.837101558405312,-0.0952229558864464,0.432963626312539,0.909170207019995
High,0.337206711637276,perception_of_support,Helpful,Inconclusive,1.40102864273244,-0.133680850970967,0.808094274245519,0.874869233719161,2.24362816990636
Medium,0.711457239067061,perception_of_support,Helpful,Inconclusive,2.03695743085702,0.231991096362873,1.19092338177125,1.26110850032588,3.29011784002048
High,-1.10095805243051,perception_of_support,Unhelfpul,Inconclusive,0.332552328463792,-1.7643117496104,-0.437604355250617,0.171304646411352,0.645581153129546
Medium,-0.537339809017126,perception_of_support,Unhelfpul,Inconclusive,0.584300537792667,-1.15755743698962,0.0828778189553698,0.3142528265413,1.08640906184477
High,-0.648510721002262,wic_participation,TRUE,False,0.52282382779593,-1.17550262960711,-0.121518812397418,0.308663797128534,0.885574393414729
Medium,-0.0766581394111111,wic_participation,TRUE,False,0.926206432967016,-0.540837333404769,0.387521054582546,0.582260502029033,1.47332397351368
