response_level,coefficient,variable_name,variable_level,reference_level,odds_ratio,lower_log_odds_interval,upper_log_odds_interval,lower_odds_ratio_interval,upper_odds_ratio_interval
High,0.210821562853552,BFHI_score,0,1,1.23469202048317,-1.28962250930736,1.71126563501446,0.275374714863729,5.53596355496616
Medium,1.11344279081908,BFHI_score,0,1,3.04482305914734,-0.208310157581767,2.43519573921993,0.811955163603735,11.418053455523
High,0.357243984377164,BFHI_score,2,1,1.42938457481808,-0.419295338643632,1.13378330739796,0.657509978484148,3.10739050293686
Medium,0.926323119849687,BFHI_score,2,1,2.52520720273508,0.129872451740995,1.72277378795838,1.13868313701018,5.6000402653615
High,0.55971288987545,BFHI_score,3,1,1.7501699366455,-0.171742878624444,1.29116865837535,0.842195691846292,3.63703452391534
Medium,1.07550359478185,BFHI_score,3,1,2.93146880126602,0.304540858802258,1.84646633076143,1.35600226355107,6.33738568421821
High,0.824803499218016,BFHI_score,4,1,2.28143241802626,0.089051223357877,1.56055577507816,1.09313664902203,4.76146681448996
Medium,1.28982744829477,BFHI_score,4,1,3.63215976631623,0.510127970166837,2.06952692642271,1.66550431617422,7.92107498007008
High,1.43039513348369,BFHI_score,5,1,4.18035066214636,0.638194636749311,2.22259563021807,1.8930601311954,9.23126073521631
Medium,1.66774329017757,BFHI_score,5,1,5.30019329250795,0.823601237185786,2.51188534316935,2.27869118662038,12.3281509591524
High,1.53381014469592,BFHI_score,6,1,4.63580630834288,0.589105622623005,2.47851466676883,1.8023756902707,11.9235408269649
Medium,1.4244314643301,BFHI_score,6,1,4.15549462411271,0.401958102192692,2.4469048264675,1.49474870467086,11.5525342267027
High,-1.52606038523406,breast_feeding_attitude,Positive,Negative,0.217390417015069,-2.76962964568822,-0.282491124779911,0.0626852161837579,0.753903332987635
Medium,0.0147226494800056,breast_feeding_attitude,Positive,Negative,1.01483156151871,-0.705360688486428,0.734805987446439,0.493930387119319,2.0850774220654
High,0.105112435651822,education,1-3 Years College,High School,1.11083550084811,-0.544570402723745,0.754795274027388,0.580090935304299,2.12717599060079
Medium,-0.110644402163794,education,1-3 Years College,High School,0.895257043800817,-0.68615792104498,0.464869116717392,0.503506870696373,1.59180583447945
High,0.612284135677129,education,College Graduate,High School,1.84463999847748,-0.0370080668670115,1.26157633822127,0.963668361533183,3.53098312636242
Medium,0.519487757300839,education,College Graduate,High School,1.68116626395366,-0.0649793387416062,1.10395485334328,0.937086824570409,3.01607058486984
High,-0.501905434134917,education,Less Than High School,High School,0.605376055849883,-2.2576063467899,1.25379547852006,0.104600562808238,3.50361565136336
Medium,-13.9400351789296,education,Less Than High School,High School,8.82916522841688e-07,-13.9400372121133,-13.9400331457459,8.8291472771207e-07,8.82918317974956e-07
High,-0.794298353337587,parity,nullipara,primipara,0.451898196573423,-1.19225732351867,-0.396339383156505,0.303535312750739,0.672778327554953
Medium,-0.466157024146531,parity,nullipara,primipara,0.627408757987309,-0.837095908561731,-0.0952181397313306,0.432966072496214,0.909174585735283
High,0.337207885591992,perception_of_support,Helpful,Inconclusive,1.40103028747759,-0.133680314061598,0.808096085245582,0.874869703444775,2.2436322331208
Medium,0.711452853643798,perception_of_support,Helpful,Inconclusive,2.03694849795611,0.231987924195686,1.19091778309191,1.26110449988522,3.29009941975727
High,-1.10096883676575,perception_of_support,Unhelpful,Inconclusive,0.332548742127333,-1.76432499144393,-0.43761268208757,0.171302378038759,0.645575777502925
Medium,-0.53735674695036,perception_of_support,Unhelpful,Inconclusive,0.584290641032985,-1.15757395950632,0.0828604656056019,0.31424763433662,1.0863902091719
High,-0.648516149625788,wic_participation,TRUE,False,0.522820989589902,-1.17551016069557,-0.121522138556004,0.308661472562924,0.885571447858756
Medium,-0.0766427530528394,wic_participation,TRUE,False,0.926220684020663,-0.540821050361767,0.387535544256088,0.582269983079016,1.47334532165174
